ds,yhat,yhat_lower,yhat_upper
2023-01-20,165.20133764209828,51.330305192991915,281.1570294038371
2023-01-21,170.2564651877568,58.7912188982756,284.2211818745104
2023-01-22,175.3115927334153,56.32439625850694,295.26929337604315
2023-01-23,180.36672027907377,67.41273576172209,291.2297831732378
2023-01-24,185.42184782473228,72.58288583416251,298.5029782403939
2023-01-25,190.47697537039076,67.62977143558275,303.06289088322006
2023-01-26,195.53210291604927,80.97202333969959,310.18973473686026
2023-01-27,200.58723046170778,87.64316321535091,319.4260193842623
2023-01-28,205.6423580073663,102.56141612970491,314.6082797808671
2023-01-29,210.6974855530248,94.46841738146634,321.83927454113183
2023-01-30,215.7526130986833,108.93610195357702,329.67480128712486
2023-01-31,220.80774064434178,107.47638281106231,329.78391547811015
2023-02-01,225.86286819000028,101.20777645635503,332.95495868133986
2023-02-02,230.9179957356588,116.8395980709955,347.7865515377239
2023-02-03,235.9731232813173,121.12051464556264,353.5304721141523
2023-02-04,241.02825082697578,129.7529687759522,354.6359060900753
2023-02-05,246.0833783726343,134.83472130600737,365.3917962682888
2023-02-06,251.13850591829276,143.31426705813132,366.30327730835154
2023-02-07,256.1936334639513,144.18368465564853,369.3995880532951
2023-02-08,261.2487610096098,152.41975379354386,372.2711986121016
2023-02-09,266.3038885552683,154.05482123489497,384.08803707480587
2023-02-10,271.3590161009268,156.7461888016391,388.97271121654313
2023-02-11,276.4141436465853,161.1428418212387,385.7002598420729
2023-02-12,281.46927119224375,163.65739184608077,390.4617465649938
2023-02-13,286.5243987379023,179.96480283242582,397.59375110455863
2023-02-14,291.57952628356077,186.99464727494336,403.5470350792674
2023-02-15,296.63465382921925,175.39443965958773,404.550338371366
2023-02-16,301.6897813748777,194.79580376895012,415.27579023168096
2023-02-17,306.74490892053626,190.79434714139006,416.22369606865294
2023-02-18,311.80003646619474,194.38840364051023,431.06935446082343
